title,author,length,rating
Mark of the Fool 3,By: J.M. Clarke,Length: 22 hrs and 51 mins,Not rated yet
Two Weeks Notice,By: Amy Porterfield,Length: 7 hrs and 38 mins,"4.5 out of 5 stars
14 ratings"
A Game of Malice and Greed,"By: Caroline Peckham, Susanne Valenti",Length: 25 hrs and 50 mins,"5 out of 5 stars
8 ratings"
Dirty Thirty,By: Janet Evanovich,Length: 8 hrs,Not rated yet
Toe the Line,By: Penelope Ward,Length: 8 hrs and 9 mins,"4.5 out of 5 stars
63 ratings"
"Portal to Nova Roma: The Rhine, Book 3",By: J.R. Mathews,Length: 25 hrs and 24 mins,"5 out of 5 stars
173 ratings"
Payback in Death,By: J. D. Robb,Length: 13 hrs,Not rated yet
Rise of the Weakest Summoner: Volumes I-III Omnibus,By: J. R. Saileri,Length: 28 hrs and 43 mins,"5 out of 5 stars
101 ratings"
Never Shall I Fail,"By: Jason Anspach, Nick Cole",Length: 11 hrs and 15 mins,"5 out of 5 stars
43 ratings"
Empath And Narcissist,By: Lisa Kennedy,Length: 20 hrs and 32 mins,"5 out of 5 stars
50 ratings"
Stain,By: Neven Iliev,Length: 16 hrs and 34 mins,"5 out of 5 stars
249 ratings"
The Lord Ruler,By: Alvin Atwater,Length: 17 hrs and 39 mins,"5 out of 5 stars
188 ratings"
One for the Ages,By: JD Kirk,Length: 11 hrs and 32 mins,"5 out of 5 stars
40 ratings"
The New Guy,By: Sarina Bowen,Length: 9 hrs and 49 mins,"5 out of 5 stars
78 ratings"
Powerless,By: Elsie Silver,Length: 10 hrs and 25 mins,"4.5 out of 5 stars
205 ratings"
How to Defy a Vampire,By: Alice Winters,Length: 9 hrs and 52 mins,"5 out of 5 stars
33 ratings"
Blood Lovers,By: JA Huss,Length: 11 hrs and 9 mins,"4.5 out of 5 stars
45 ratings"
Lunatic,By: Onley James,Length: 7 hrs and 49 mins,"5 out of 5 stars
63 ratings"
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide 9th Edition,"By: Mike Chapple, James Michael Stewart, Darril Gibson",Length: 65 hrs and 38 mins,Not rated yet
Don't Let Me Break,By: Kelsie Rae,Length: 10 hrs and 19 mins,"4.5 out of 5 stars
24 ratings"
